Projekt;Teilprojekt;Arbeitspaket
837-MAN2102-Kleinstprojekte;2900 Mail: verfügbarkeits-Übersicht;01-Durchführung
837-MAN2102-Kleinstprojekte;2934 Liefertermintreue monitoren;01-Durchführung
837-MAN2102-Kleinstprojekte;2973 Retail: Belegtext englisch für Digitalen Bon;01-Umsetzung
837-MAN2102-Kleinstprojekte;3023 Verf.: AB-Logik;00 Durchführung
837-MAN2102-Kleinstprojekte;3065 Fiori Artikelauslistung;01-Umsetzung
837-MAN2102-Kleinstprojekte;3079 Screen Personas POC;01-Umsetzung
837-MAN2102-Kleinstprojekte;3079 Screen Personas POC;03-Unterstützung
837-MAN2102-Kleinstprojekte;3079 Screen Personas POC;
837-MAN2102-Kleinstprojekte;3093 FIORI Preisplanung 2.0;00 Durchführung
837-MAN2102-Kleinstprojekte;3093 FIORI Preisplanung 2.0;00 Umsetzung
837-MAN2102-Kleinstprojekte;3100 Promo-Engine: Einführung;00 Umsetzung
837-MAN2102-Kleinstprojekte;3124 Filialadresse anzeigen bei C&C-Auftrag;01-Umsetzung
837-MAN2102-Kleinstprojekte;3127 Procurement: Sichtbarkeit der Artikelsaison in SAP;01-Umsetzung
837-MAN2102-Kleinstprojekte;3145 GoGreen Label auf Versandlabel andrucken;01-Umsetzung
837-MAN2102-Kleinstprojekte;3181 Paygate: Nachbearbeitungscockpit anpassen;00 Umsetzung
837-MAN2102-Kleinstprojekte;3201 CS: Kundenkommunikation;01-Umsetzung
837-MAN2102-Kleinstprojekte;3201 CS: Kundenkommunikation;
837-MAN2102-Kleinstprojekte;3202 Aufträge ohne AG/WE;01-Umsetzung
837-MAN2102-Kleinstprojekte;3203 Adresszeile für AT u. CH entfernen;01-Umsetzung
837-MAN2102-Kleinstprojekte;3206 FIORI Preisplanung: Schnellauswertung;01-Umsetzung
837-MAN2102-Kleinstprojekte;3251 GABW-Logik Shop anpassen;00 Umsetzung
837-MAN2102-Kleinstprojekte;3265 NL Fehlende Übersetzung / Änderung der Zahlungsbedingung;01-Umsetzung
837-MAN2102-Kleinstprojekte;3265 NL Fehlende Übersetzung / Änderung der Zahlungsbedingung;
837-MAN2102-Kleinstprojekte;3270 Grundpreisverordnung umsetzen;00 Umsetzung
837-MAN2102-Kleinstprojekte;3295 Änderung der E-Mail-Adresse – Widerspruch AB;01-Umsetzung
837-MAN2102-Kleinstprojekte;3298 Optimierung Popups in Auftragsbearbeitung;01-Umsetzung
837-MAN2102-Kleinstprojekte;3361 Text bei Retoureneingangsbestätigungen;01-Umsetzung
837-MAN2102-Kleinstprojekte;3379 Katalogaufträge: Partnerübertragung anpassen;00 Umsetzung
837-MAN2102-Kleinstprojekte;3396 Internationalisierung: NL Vkorg;00 Umsetzung
837-MAN2102-Kleinstprojekte;3397 Check & Change Formular LLE Abfrage;01-Umsetzung
837-MAN2102-Kleinstprojekte;3401 Paygate-Zahlart: ideal;00 Umsetzung
837-MAN2102-Kleinstprojekte;3409 Rechnung: Swiss QR-Code;00 Umsetzung
837-MAN2102-Kleinstprojekte;3450 - Geschäftspapier nachbilden für Versandpapier CH;01-Umsetzung
837-MAN2102-Kleinstprojekte;3473 Anpassungen Fiori Kommissionier-App;01-Umsetzung
837-MAN2102-Kleinstprojekte;3532 UUID als eindeutige ID;00 Umsetzung
837-MAN2102-Kleinstprojekte;3554 Lagerwechsel Hermes Fulfillment;00 Umsetzung
837-MAN2102-Kleinstprojekte;586 LLE Anpassung Flexibilität;01-Umsetzung
837-MAN2102-Kleinstprojekte;606 REST-API-Einführung Shop;01-Durchführung
841-CAS2103-Debitel;;
845-KEB2102-Fiori-Repair-Documentation-Framework;03-Entwicklung;
845-KEB2102-Fiori-Repair-Documentation-Framework;04-Schulung;
845-KEB2102-Fiori-Repair-Documentation-Framework;05-Administration;
845-KEB2102-Fiori-Repair-Documentation-Framework;;
848-VON2101-Handwerkerkopplung-2.0;05-Fiori Develop;
848-VON2101-Handwerkerkopplung-2.0;;
850-CAS2105-Fiori-Readiness-Check;Klingele 2021/0101;
853-FRA2101-Werkstattprozesse;10-PM;01-Besprechung Projektteam
853-FRA2101-Werkstattprozesse;10-PM;02-Abstimmung Kunde
853-FRA2101-Werkstattprozesse;10-PM;03-Ergebnispräsentation
853-FRA2101-Werkstattprozesse;10-PM;10-Koordination
853-FRA2101-Werkstattprozesse;10-PM;
853-FRA2101-Werkstattprozesse;20-Konzeption;"01-Grundkonzept (Anforderungen; Prozessablauf)"
853-FRA2101-Werkstattprozesse;20-Konzeption;02-IT Konzept CS Integration SD/MM
853-FRA2101-Werkstattprozesse;20-Konzeption;
853-FRA2101-Werkstattprozesse;30-CS-Integration;10-Grundkonfiguration
853-FRA2101-Werkstattprozesse;30-CS-Integration;20-Schnittstellen-Implementierung
853-FRA2101-Werkstattprozesse;30-CS-Integration;
853-FRA2101-Werkstattprozesse;31247 Nacharbeiten BF-Aktivierung;01-Umsetzung
853-FRA2101-Werkstattprozesse;32383 Nacharbeiten BF-Aktivierung;01-Umsetzung
853-FRA2101-Werkstattprozesse;40-SD/MM Erweiterungen;10-Grundkonfiguration
853-FRA2101-Werkstattprozesse;40-SD/MM Erweiterungen;20-Schnittstellen-Implementierung
853-FRA2101-Werkstattprozesse;40-SD/MM Erweiterungen;
853-FRA2101-Werkstattprozesse;45-FI-Integration;01-Abstimmung/Konzeption
853-FRA2101-Werkstattprozesse;45-FI-Integration;02-Umsetzung
853-FRA2101-Werkstattprozesse;50-Logistikprozesse;10-Grundkonfiguration
853-FRA2101-Werkstattprozesse;50-Logistikprozesse;11-Erweiterung Packplatz
853-FRA2101-Werkstattprozesse;50-Logistikprozesse;12-Umbuchungs-App 1000/1009
853-FRA2101-Werkstattprozesse;50-Logistikprozesse;20-Schnittstellen-Implementierung
853-FRA2101-Werkstattprozesse;50-Logistikprozesse;
853-FRA2101-Werkstattprozesse;60-Entwicklertest;01-Team Besprechung
853-FRA2101-Werkstattprozesse;60-Entwicklertest;02-Abstimmung/Präsentation  FRA
853-FRA2101-Werkstattprozesse;60-Entwicklertest;10-Koordination
853-FRA2101-Werkstattprozesse;60-Entwicklertest;20-Auftragsbearbeitung Werkstattbüro
853-FRA2101-Werkstattprozesse;60-Entwicklertest;
853-FRA2101-Werkstattprozesse;70-FIOIR-UI;01-Koordination
853-FRA2101-Werkstattprozesse;70-FIOIR-UI;02-Abstimmung/Präsentation  FRA
853-FRA2101-Werkstattprozesse;70-FIOIR-UI;10-Erfassung Werkstattaufträge
853-FRA2101-Werkstattprozesse;70-FIOIR-UI;20-Auftragsbearbeitung Werkstattbüro
853-FRA2101-Werkstattprozesse;70-FIOIR-UI;30Erfassung Büchsenmachertätigkeiten
853-FRA2101-Werkstattprozesse;70-FIOIR-UI;40-Abrechnung der Werkstattaufträge
853-FRA2101-Werkstattprozesse;70-FIOIR-UI;50-Umlagerung Werkstatt/Logistik
853-FRA2101-Werkstattprozesse;70-FIOIR-UI;60-Anlage Servicemeldung
853-FRA2101-Werkstattprozesse;70-FIOIR-UI;70-Erfas. int. Servicemeldungen
853-FRA2101-Werkstattprozesse;70-FIOIR-UI;80-Kundenübergabe-App
853-FRA2101-Werkstattprozesse;70-FIOIR-UI;
853-FRA2101-Werkstattprozesse;80-TTE-Schnittstelle;01-Abstimmung
853-FRA2101-Werkstattprozesse;80-TTE-Schnittstelle;02-Integration
853-FRA2101-Werkstattprozesse;90-FB-Validierung;01-Testunterstützung
853-FRA2101-Werkstattprozesse;90-FB-Validierung;11-CutOver Vorbereitung
853-FRA2101-Werkstattprozesse;90-FB-Validierung;
853-FRA2101-Werkstattprozesse;99-IOT;
855-GEP-2021-01-DOEHLER;GEP-01-EWM-S4-Migration;Migrationl&Functional Improvements
855-GEP-2021-01-DOEHLER;GEP-01-EWM-S4-Migration;Technical Migration
857-CAS2106-HCOB-Fiori-S/4-Migration;"	04-In-Deckungnahme Schiffe & Immobilien";01-Team Besprechung
857-CAS2106-HCOB-Fiori-S/4-Migration;"	04-In-Deckungnahme Schiffe & Immobilien";
857-CAS2106-HCOB-Fiori-S/4-Migration;01- Complex Loans;
857-CAS2106-HCOB-Fiori-S/4-Migration;02-CO2-Abrechnung;
857-CAS2106-HCOB-Fiori-S/4-Migration;02-Vorbereitung ohne Lead;02-Ausarbeitung
857-CAS2106-HCOB-Fiori-S/4-Migration;02-Vorbereitung ohne Lead;
857-CAS2106-HCOB-Fiori-S/4-Migration;03-Business-Glossar;01-Team Besprechung
857-CAS2106-HCOB-Fiori-S/4-Migration;03-Business-Glossar;
857-CAS2106-HCOB-Fiori-S/4-Migration;04-For Bearance;
857-CAS2106-HCOB-Fiori-S/4-Migration;;
859-CAS2107-ISS (2021/0178);;
860-ALD2101-Betriebs-und-Projektunterstützung;;
862-MEN2101-FIORI;"03-	Fiori Workshop / Schulung";
862-MEN2101-FIORI;05-Fiori Develop;
862-MEN2101-FIORI;;
863-GLW2101-Analyseworkshop;01-Workshop-Vorbereitung;
863-GLW2101-Analyseworkshop;02-Worksshop;
863-GLW2101-Analyseworkshop;;
864-DMK2103-Beratung&Entwicklung;02-4200067321 EWM-Optimierung und Qualitätssicherung;
864-DMK2103-Beratung&Entwicklung;04-4501338011 EWM KVG Erfurt Implementierung;
864-DMK2103-Beratung&Entwicklung;05-4200069985 BeratungsDL für EWM-Training und Support;
864-DMK2103-Beratung&Entwicklung;07-4200072501 Projektsupport;
864-DMK2103-Beratung&Entwicklung;08-4200074880 EWM Ad-Hoc-Support-Service;
864-DMK2103-Beratung&Entwicklung;09-4200075495 EWM Ad-Hoc-Support-Service;
864-DMK2103-Beratung&Entwicklung;10-4200077581 Hypercare, allg. Unterstütz;
866-IOT2201-Interne-Aufschreibung;01-Bürotätigkeiten;01-Arbeitsplatzorganisation
866-IOT2201-Interne-Aufschreibung;01-Bürotätigkeiten;02-Internes/Administration
866-IOT2201-Interne-Aufschreibung;01-Bürotätigkeiten;03-Sonderaufgaben
866-IOT2201-Interne-Aufschreibung;01-Bürotätigkeiten;
866-IOT2201-Interne-Aufschreibung;02-Krankheit;
866-IOT2201-Interne-Aufschreibung;03-Urlaub;03-Backup
866-IOT2201-Interne-Aufschreibung;03-Urlaub;
866-IOT2201-Interne-Aufschreibung;04-KnowHow Transfer;01-Einarbeitung
866-IOT2201-Interne-Aufschreibung;04-KnowHow Transfer;02-Übergaben
866-IOT2201-Interne-Aufschreibung;04-KnowHow Transfer;03-Unterstützung
866-IOT2201-Interne-Aufschreibung;04-KnowHow Transfer;04-Workshop (Ausrichter)
866-IOT2201-Interne-Aufschreibung;04-KnowHow Transfer;05-Workshop (Teilnahme)
866-IOT2201-Interne-Aufschreibung;04-KnowHow Transfer;
866-IOT2201-Interne-Aufschreibung;05-Management;01-Fachberatung
866-IOT2201-Interne-Aufschreibung;05-Management;02-Projektleiter
866-IOT2201-Interne-Aufschreibung;05-Management;03-Koordination
866-IOT2201-Interne-Aufschreibung;05-Management;04-Bewerber
866-IOT2201-Interne-Aufschreibung;05-Management;
866-IOT2201-Interne-Aufschreibung;06-Sekretariat;01-Buchhaltung
866-IOT2201-Interne-Aufschreibung;06-Sekretariat;02-Personal
866-IOT2201-Interne-Aufschreibung;06-Sekretariat;03-IOT
866-IOT2201-Interne-Aufschreibung;06-Sekretariat;04-IAL
866-IOT2201-Interne-Aufschreibung;07-Assistenz;04-Organisation Verwaltung
866-IOT2201-Interne-Aufschreibung;08-MA Jourfixe;04-Veranstaltungen
866-IOT2201-Interne-Aufschreibung;08-MA Jourfixe;
866-IOT2201-Interne-Aufschreibung;09-Interne Aufschreibung;01-Team Besprechung
866-IOT2201-Interne-Aufschreibung;09-Interne Aufschreibung;02-Wochenplanung
866-IOT2201-Interne-Aufschreibung;09-Interne Aufschreibung;03-MA-Gespräch
866-IOT2201-Interne-Aufschreibung;09-Interne Aufschreibung;04-Veranstaltungen
866-IOT2201-Interne-Aufschreibung;09-Interne Aufschreibung;
866-IOT2201-Interne-Aufschreibung;10-Botengänge;
866-IOT2201-Interne-Aufschreibung;11-Fortbildung;01-Seminar (intern)
866-IOT2201-Interne-Aufschreibung;11-Fortbildung;02-Übungen
866-IOT2201-Interne-Aufschreibung;11-Fortbildung;03-Webinar
866-IOT2201-Interne-Aufschreibung;11-Fortbildung;04-Seminar (extern)
866-IOT2201-Interne-Aufschreibung;11-Fortbildung;06-DSAG Tagung
866-IOT2201-Interne-Aufschreibung;11-Fortbildung;07-UI5
866-IOT2201-Interne-Aufschreibung;11-Fortbildung;
866-IOT2201-Interne-Aufschreibung;12-ohne produktive Aufgaben;
866-IOT2201-Interne-Aufschreibung;;
867-MEN2101-IAL-MFS-Schulung;;
868-CAS2201-Beeline;Prototyp S4 Segmentierung 2021/0193;
868-CAS2201-Beeline;;
869-WSW2201-Fiori--/-S/4-Einführung-2022;01-Abstimmung & Administratives;
869-WSW2201-Fiori--/-S/4-Einführung-2022;02-2S/4 Sandboxkonfiguration;
869-WSW2201-Fiori--/-S/4-Einführung-2022;"03-	Einrichtung Berechtigungskonzept";
869-WSW2201-Fiori--/-S/4-Einführung-2022;04-Fachbereichsworkshops;
869-WSW2201-Fiori--/-S/4-Einführung-2022;"05-	Entwicklung PM-App inkl. Signaturkomponente";
869-WSW2201-Fiori--/-S/4-Einführung-2022;"06-	Entwicklerschulung";
869-WSW2201-Fiori--/-S/4-Einführung-2022;07-Anwenderschulung;
869-WSW2201-Fiori--/-S/4-Einführung-2022;;
870-BSS2201-Juwel;01-Workshop EBE22-00804;
870-BSS2201-Juwel;;
871-COV2201-Workshop-91619/0105/030;01-Workshop-Vorbereitung;
871-COV2201-Workshop-91619/0105/030;02-Worksshop;
871-COV2201-Workshop-91619/0105/030;03-Vorbereitung Begleitete Entwicklung;
871-COV2201-Workshop-91619/0105/030;04-Begleitete Enticklung;
871-COV2201-Workshop-91619/0105/030;;
872-FRA2201-SAP-CCO-Integration-FR;30944 Vorprojekt neue Kasse;01-Umsetzung
872-FRA2201-SAP-CCO-Integration-FR;31362 Pilotprojekt Kasse Frankreich;01-Umsetzung
872-FRA2201-SAP-CCO-Integration-FR;;
